Age,GPA,Attendance_Rate,Study_Hours_Per_Week,Homework_Submission_Rate,Distance_From_School,Family_Size,Disciplinary_Actions,Teacher_Evaluation_Score,Parent_Teacher_Meetings_Attended,Extracurricular_Participation,,Gender,Health_Status,School_Transportation,Part_Time_Job,Special_Education_Support,Online_Learning_Participation,School_Facilities_Access,Parent_Education,Family_Income,Parent_Occupation,Student_ID,Dropout_Risk
17,1.985249502,47.603429,5.761459178,36.54098917,4.010581161,5,4,6.046197294,1,0,,F,Fair,Yes,No,Yes,Medium,Full,Primary,Low,Private,819,1
16,3.041036017,60,7.681653335,78.10892376,1,2,2,6.458071204,4,2,,F,Good,Yes,No,No,High,Full,Secondary,High,Private,1430,0
17,2.781191744,60,8.14985004,90,1.401430694,1,1,7.912304546,1,1,,M,Good,Yes,No,No,High,Full,Bachelor,Middle,Self-employed,2535,0
17,2.11883388,30,6.282530695,39.53060319,21.50421818,5,3,5.783671797,1,1,,F,Poor,No,Yes,No,Medium,Full,Primary,Middle,Private,817,1
16,3.728934744,92.4301246,15.14457717,85.73525138,0.594249901,2,0,6.8340502,2,2,,M,Good,No,Yes,No,High,Full,Bachelor,Middle,Government,3605,0
16,2.424873459,30,6.27008246,24.91471182,2.648625222,6,5,5.808552977,0,0,,M,Good,Yes,Yes,No,Low,Limited,Secondary,Low,Private,382,1
15,2.804605762,91.09417394,9.440703742,67.40764993,4.641989815,1,3,7.631464569,5,0,,M,Good,Yes,No,No,High,Full,Bachelor,Low,Private,1740,0
16,3.360584325,93.29934123,14.70018833,75,2.331971993,4,0,8.63002723,2,0,,M,Good,Yes,Yes,No,Low,Full,Bachelor,High,Self-employed,3716,0
15,2.90344823,78.92102635,9.965745771,69.75683665,1,7,2,7.307830975,3,0,,M,Good,Yes,No,No,Medium,Full,Bachelor,Low,Government,1770,0
17,2.752221084,60,7.534339912,66.60421519,2.349504533,3,4,5.251429031,2,4,,M,Good,Yes,No,No,High,Limited,Bachelor,Middle,Private,2229,0
16,3.085578011,83.95790787,15.77132629,95.60545394,6.09442238,1,0,7.870669891,3,2,,F,Fair,Yes,No,Yes,Medium,Full,Master,Middle,Unemployed,4332,0
16,2.311666891,30,4.454021573,62.46571342,6.431029498,2,4,7.713226728,0,1,,M,Good,Yes,No,No,High,Limited,Primary,Low,Private,865,1
15,3.33868665,80,12.8771704,96.56433373,4.911258714,6,0,8.327663571,2,4,,F,Fair,Yes,No,No,Medium,Limited,Master,Middle,Private,4022,0
17,2.965952009,75.2999519,14.5266554,68.84480621,1,2,1,6.822840741,3,0,,F,Good,No,No,No,High,Full,Bachelor,Middle,Government,2567,0
17,1.91780545,30,2.777093116,28.16436217,11.84490945,3,3,4.314373663,1,0,,F,Good,Yes,Yes,No,Low,Minimal,Secondary,Low,Unemployed,555,1
15,2.642753694,60,8.350155084,64.09073617,2.077150711,6,1,7.129099784,2,1,,F,Good,Yes,No,No,Low,Full,Secondary,Middle,Self-employed,1160,0
17,3.207767333,85.61429526,11.86955866,50,20,4,2,6.654488465,2,2,,M,Fair,Yes,Yes,No,High,Minimal,Primary,Middle,Self-employed,1214,0
15,3.248975755,80,14.64945896,75,0.65489787,3,0,6.98461292,2,3,,M,Good,Yes,No,No,Medium,Full,Secondary,High,Government,4376,0
15,3.38587877,80,13.7346828,75,0.56278283,5,0,7.416237289,4,1,,M,Good,Yes,No,No,High,Minimal,Bachelor,Middle,Government,4182,0
17,2.795829646,95,12.45029405,90,5.773004518,2,0,5.489676097,1,0,,F,Good,Yes,Yes,No,High,Full,Bachelor,Middle,Government,1834,0
15,3.197580733,80,18.9576006,75,0.5,1,0,7.733214134,2,1,,F,Poor,Yes,No,No,Low,Full,Bachelor,Low,Unemployed,3066,0
17,3.23722099,84.51291952,21.71195927,77.93273953,1.067729119,4,0,7.80975971,1,1,,M,Good,Yes,No,No,High,Full,Primary,High,Unemployed,3967,0
16,2.445281855,30,6.223961907,20,13.23166075,2,9,4.727826804,1,1,,F,Good,No,Yes,No,Medium,Full,Bachelor,Low,Private,749,1
17,3.400573955,87.15102026,20.88010789,85.90813583,2.318599089,3,0,7.057380298,2,2,,F,Good,Yes,No,No,Low,Full,Bachelor,Middle,Government,3464,0
16,2.92424113,67.72634673,11.92130282,68.86278013,7.089354352,2,2,5.813676596,1,0,,M,Fair,Yes,No,No,Medium,Full,Master,High,Government,1438,0
17,2.382289619,30,6.344585927,47.54610387,25,4,6,6.809905458,0,0,,F,Good,No,No,Yes,Low,Limited,Primary,Low,Government,867,1
16,1.974950697,30,3.085024181,20,10.25980991,1,1,2.570510074,1,1,,F,Fair,Yes,Yes,Yes,Low,Limited,Bachelor,Middle,Government,753,1
15,3.507173239,83.49987453,23.48279649,97.79753903,0.523005142,3,0,9.160197478,2,0,,F,Fair,Yes,No,No,Medium,Full,Bachelor,Middle,Government,3704,0
17,3.028038794,90.64443461,7.685120282,62.07966519,11.38408321,4,1,7.082722254,2,1,,F,Good,Yes,No,No,High,Full,Master,High,Self-employed,2300,0
16,3.3113214,80,15.81138267,94.74332936,0.5,2,0,7.908202956,5,4,,F,Good,No,No,Yes,High,Full,Bachelor,Middle,Private,3503,0
15,2.264127318,62.26297635,9.240924152,59.7206981,11.57594653,2,3,9.002174457,3,1,,F,Good,Yes,No,No,Medium,Full,Master,Low,Self-employed,2019,0
16,2.520213971,62.13692119,3.072870221,41.86079508,10.34433247,2,1,4.614147804,3,0,,M,Good,Yes,Yes,No,Low,Full,Bachelor,Low,Unemployed,730,1
16,3.612297456,88.93455836,17.64415345,75,1.319854769,4,0,7.779936187,3,1,,F,Good,Yes,No,No,Medium,Full,Secondary,Low,Government,3533,0
18,2.951630579,64.79253682,8.983887484,80.91853213,1,3,1,7.604348771,2,1,,F,Good,Yes,No,Yes,High,Full,Bachelor,High,Private,2005,0
16,3.469254427,80,14.97639752,75,2.544139904,3,0,8.309105009,1,1,,F,Good,Yes,No,No,Medium,Full,Bachelor,Middle,Self-employed,3428,0
17,3.060613899,67.44290271,7.970297908,50,1.227434867,2,1,6.734168926,3,2,,M,Good,No,Yes,No,High,Full,Master,Middle,Government,2405,0
17,3.110113305,86.46289105,18.74344242,89.35962903,2.630460939,2,0,8.632671046,1,1,,M,Good,No,No,No,Low,Limited,Secondary,Middle,Private,2837,0
17,2.276972407,51.88392668,1.889565769,20,2,2,2,5.638672992,0,0,,F,Poor,No,No,No,Low,Limited,Primary,Middle,Self-employed,1111,1
17,3.891593136,90.67906728,17.13615353,79.30543518,7.033442544,2,0,7.908164757,4,6,,F,Fair,No,No,No,High,Full,Secondary,High,Government,3408,0
15,1.795416809,52.84461171,3.151576119,39.89688937,7.65312978,6,1,7.534656765,0,1,,M,Good,Yes,No,No,Low,Limited,Bachelor,Low,Self-employed,347,1
16,2.426080369,60,9.002972955,69.19763624,8.384538385,2,0,6.707507175,3,0,,F,Good,Yes,Yes,No,Low,Full,Bachelor,High,Private,1860,0
15,3.590594139,96.60674061,19.48432906,93.04947783,1.411834358,3,0,7.878198039,7,1,,M,Good,Yes,No,No,Low,Full,Bachelor,Low,Self-employed,3244,0
16,3.217289927,95.82420461,21.66183625,75,0.5,4,0,8.339391138,1,3,,F,Good,No,No,No,High,Full,Master,High,Private,4208,0
15,2.639024864,30,5.709512611,36.34636769,14.97829115,3,6,4.434629047,0,0,,F,Good,No,No,Yes,Low,Minimal,Primary,Middle,Self-employed,579,1
16,3.586484875,80,20.03919248,92.60165313,5.110061377,2,1,7.998536451,3,0,,F,Good,Yes,No,No,High,Full,Bachelor,Low,Private,4061,0
15,3.879368774,80,14.42818855,75,1.967730997,2,0,8.744336998,2,3,,F,Good,Yes,No,No,High,Full,Master,Low,Private,2919,0
16,2.883242875,84.53564037,18.31883519,89.17669067,7.407120976,2,0,9.184010455,1,1,,F,Good,Yes,No,No,Medium,Full,Bachelor,Middle,Private,3888,0
18,3.109501198,91.72661356,9.7215831,71.28115949,3.326133094,2,0,6.840778422,2,1,,M,Good,Yes,No,No,Medium,Full,Master,High,Government,2248,0
17,3.278532581,80,15.47178446,75,0.5,3,0,9.135548246,2,3,,F,Good,Yes,No,No,Low,Full,Secondary,Middle,Government,3444,0
17,1.910137272,30.76086742,7.887466135,46.82488831,3.946683024,6,2,5.894835945,2,0,,F,Good,Yes,No,No,Low,Minimal,Primary,Middle,Unemployed,179,1
16,3.183028985,80,18.70225381,92.35845124,5.51389744,2,0,8.535926793,7,2,,M,Good,Yes,No,No,High,Full,Secondary,Middle,Private,3950,0
18,3.169786269,87.63077938,6.824596663,50,14.66047245,4,1,5.414746305,4,1,,F,Fair,No,No,No,High,Full,Master,High,Government,2016,0
18,2.518234808,75.09747087,9.381245337,80.07901986,1,5,3,6.078592287,0,1,,F,Good,Yes,Yes,No,Medium,Full,Master,High,Government,2079,0
18,2.546785557,76.59887611,11.00949195,69.36258553,8.354994559,3,0,7.868437136,3,0,,F,Good,Yes,Yes,No,Medium,Limited,Primary,Low,Private,1840,0
17,2.957069386,42.93462856,3.109143616,20,6.176046187,2,1,4.817323496,0,0,,M,Good,No,No,No,Low,Full,Secondary,Middle,Private,605,1
17,2.63060535,79.17135228,11.07307896,65.57598129,4.639871909,6,0,7.424612262,3,3,,F,Good,Yes,No,No,Medium,Full,Master,Middle,Self-employed,1414,0
17,1.594860547,41.03503123,3.302147234,44.05791189,2,7,5,5.177866492,2,1,,F,Poor,Yes,No,No,Low,Full,Primary,High,Self-employed,26,1
17,2.3590211,30,2.876268753,46.4053304,2,4,2,4.66228373,1,0,,M,Poor,Yes,No,Yes,Low,Limited,Primary,Middle,Self-employed,659,1
17,2.923629246,68.09406283,11.3627027,50,2.379918992,4,0,4.90273245,4,1,,M,Good,Yes,No,No,High,Full,Bachelor,Middle,Government,2695,0
17,3.371146634,98.93915089,15.54166498,84.43570994,2.137113148,4,1,8.974065202,2,1,,M,Good,Yes,No,No,High,Full,Bachelor,Low,Government,3869,0
17,2.202609231,56.17451471,4.866206642,20,5.106839966,4,0,4.384927113,2,1,,F,Poor,No,No,Yes,High,Limited,Bachelor,High,Private,174,1
15,3.240440239,80,10.14664179,75,0.850956818,2,0,9.957359328,5,4,,M,Good,Yes,No,No,High,Full,Secondary,Middle,Self-employed,3789,0
16,2.440252568,30,2.977046573,60.248959,4.836254481,5,3,6.114488957,0,0,,M,Fair,No,No,No,Low,Full,Primary,Low,Unemployed,332,1
17,2.253586274,30,4.321599282,20,2,3,3,6.862088217,0,0,,M,Poor,No,No,No,High,Full,Bachelor,Low,Unemployed,343,1
18,2.876254582,60,10.06749593,53.94726221,1,3,1,8.089765891,1,1,,F,Good,Yes,Yes,No,Low,Full,Bachelor,High,Private,2597,0
16,3.625026674,80,18.55002993,81.539377,5.853560236,4,0,8.940499909,1,3,,F,Good,No,No,No,High,Full,Bachelor,Middle,Government,3873,0
17,1.96944231,57.99670471,1.16353644,21.3112912,2,14,3,5.172971151,0,1,,F,Good,Yes,No,Yes,Medium,Full,Secondary,Middle,Government,1089,1
18,1.858372008,30,4.980691585,31.9764693,17.47736314,4,5,5.907239501,0,0,,F,Fair,No,Yes,Yes,Low,Limited,Secondary,Low,Private,480,1
17,1.53791367,30,5.96858194,20,2,5,2,3.723192218,0,0,,F,Poor,No,No,Yes,Medium,Minimal,Secondary,Low,Government,728,1
17,3.210038376,80,9.40746706,93.48916783,1.613718886,3,0,7.340664711,2,1,,M,Good,Yes,Yes,Yes,High,Full,Bachelor,High,Government,3410,0
16,1.654494282,30,7.14358599,26.92171332,5.309525214,3,1,7.724548163,0,0,,M,Good,Yes,Yes,No,Low,Full,Bachelor,High,Unemployed,977,1
16,2.932891374,72.32911333,7.31095099,73.18733453,7.589254017,2,1,8.23662624,0,1,,M,Fair,Yes,No,No,High,Full,Primary,Low,Self-employed,1379,0
16,2.983404235,60,4.730160996,67.71337509,3.079944317,4,0,4.912183736,2,0,,F,Good,No,No,No,Low,Full,Bachelor,High,Government,2417,0
16,3.896942495,80,13.83011766,75,2.772041057,3,0,8.310745296,3,1,,F,Good,Yes,No,No,High,Full,Bachelor,Middle,Unemployed,3878,0
17,3.898200871,88.8168757,12.15104429,76.48108032,4.920803028,5,0,8.162425083,5,1,,M,Poor,Yes,No,No,Medium,Limited,Secondary,Middle,Self-employed,3591,0
16,2.600422152,80.74082124,7.813358353,68.7725448,10.81854514,3,2,8.952752133,2,2,,M,Poor,Yes,Yes,No,Low,Full,Master,Low,Unemployed,1300,0
15,2.332033517,78.11573551,4.967765371,50,10.69455386,5,1,7.173684111,3,2,,M,Good,Yes,No,No,High,Full,Master,Middle,Private,2427,0
17,4.060732582,80,20.80497159,89.12848719,4.089200634,4,0,8.005964347,1,3,,F,Good,Yes,No,No,Low,Full,Bachelor,Middle,Unemployed,4144,0
16,3.1843389,80,11.54491408,90.00924982,8.044131433,2,1,8.463803562,2,2,,M,Fair,Yes,No,No,Medium,Minimal,Bachelor,High,Government,3434,0
15,3.121437668,60,6.769471704,57.74443508,3.861417442,4,3,7.230171677,1,1,,F,Good,Yes,No,No,Low,Limited,Master,Low,Government,2416,0
15,3.272040171,60,7.412813679,63.66784012,6.83110487,3,3,6.206489601,1,1,,F,Good,Yes,No,No,High,Minimal,Bachelor,Middle,Self-employed,1594,0
17,2.431565525,88.06206024,7.950955786,70.48039927,6.178722572,2,0,6.606049995,2,0,,M,Good,Yes,No,No,Low,Full,Bachelor,High,Government,2477,0
16,3.321425728,80,20.37322281,75,7.310752874,3,1,8.970569749,1,2,,M,Good,No,No,No,Medium,Full,Primary,Middle,Government,3836,0
16,2.717516704,75.52444715,3.268462103,84.0098501,1,3,1,7.892286227,1,0,,M,Good,Yes,No,No,High,Full,Bachelor,Low,Government,2060,0
15,2.874270073,60,8.632876035,62.07138522,5.853355374,5,0,5.028921321,1,0,,F,Good,Yes,No,No,Low,Full,Bachelor,Middle,Private,1612,0
17,3.746095191,92.8160338,16.49572101,92.53690707,0.5,2,1,7.538661076,2,2,,F,Fair,Yes,No,No,High,Full,Bachelor,Middle,Government,2923,0
18,2.940204543,80,6.779969035,95.44244907,5.134835516,2,0,9.608837035,2,0,,F,Good,Yes,No,No,Medium,Limited,Secondary,High,Private,4289,0
16,2.797007728,60.63481475,11.20883005,75.37640091,1.369784352,3,1,6.807702715,1,1,,M,Fair,Yes,No,No,Medium,Full,Bachelor,Low,Self-employed,1546,0
18,3.114852449,80.69334503,7.956119195,86.78688963,1.119415788,1,0,6.760992416,5,0,,M,Good,Yes,No,No,High,Limited,Secondary,Middle,Government,2590,0
17,2.64800685,88.97169858,1.952176984,50,2.80545557,4,1,5.387661704,1,0,,M,Good,Yes,No,Yes,Low,Full,Primary,High,Private,1279,0
16,3.830674402,92.48414389,16.65322112,85.05888403,2.075052373,3,0,8.066133961,0,5,,M,Good,Yes,No,No,Low,Full,Secondary,Low,Self-employed,4181,0
16,4.241846073,80,18.18963913,87.19537912,0.786689721,4,1,8.722987177,3,3,,M,Good,Yes,No,No,High,Full,Bachelor,High,Private,3180,0
15,2.858814286,89.9641429,9.757043635,50,2.421077329,3,1,7.731472879,3,1,,M,Fair,Yes,No,Yes,High,Full,Secondary,Low,Self-employed,2305,0
18,1.797727624,43.93616691,6.054216855,20,8.446913368,6,2,3.592416504,1,1,,F,Good,No,No,No,Medium,Full,Secondary,Middle,Private,68,1
16,2.655823877,67.35670559,11.92926692,61.74758663,5.115206376,4,2,6.649434227,2,4,,F,Good,No,Yes,No,High,Full,Secondary,High,Self-employed,1706,0
15,1.314818796,30,2.031724508,60.0409837,4.929668333,5,3,6.895497784,0,0,,F,Poor,No,Yes,No,Low,Minimal,Bachelor,High,Unemployed,222,1
16,3.676865627,88.30137255,12.6908517,75,4.984166386,6,0,7.323498464,4,2,,F,Fair,Yes,No,No,High,Full,Secondary,Middle,Self-employed,3946,0
15,2.939201256,83.99445467,8.492678679,73.13291794,5.134290132,3,2,6.665422961,2,2,,F,Good,No,No,No,Low,Full,Master,High,Self-employed,1616,0
15,3.175770062,97.5318422,15.71565666,75,4.30706014,4,0,9.466777111,2,4,,F,Good,Yes,No,No,Medium,Minimal,Secondary,High,Private,3433,0
16,3.417660581,84.93042578,15.1325467,95.30801491,6.988696363,4,0,8.119493159,1,2,,M,Fair,Yes,No,No,High,Full,Bachelor,Middle,Government,4351,0
16,2.458676067,30,4.133449064,46.74674868,4.408687897,5,2,5.429051436,1,1,,M,Good,Yes,No,No,Medium,Limited,Bachelor,Middle,Self-employed,89,1
15,3.585670888,90.13812624,19.54644097,89.47742245,0.790612077,4,0,8.675443903,3,4,,F,Fair,Yes,No,No,High,Full,Secondary,High,Unemployed,3208,0
16,2.598014012,80.37756166,5.235540899,56.3970655,1.844809348,4,0,7.416671304,1,2,,M,Good,Yes,No,No,High,Full,Master,Middle,Government,2308,0
17,3.775532269,80,13.68006012,88.86069795,4.170779689,4,0,8.817716453,4,2,,M,Fair,Yes,No,Yes,High,Full,Secondary,Middle,Government,3516,0
16,3.832182821,80,11.16495931,85.54670923,2.656726749,2,1,7.478630885,0,4,,F,Good,Yes,Yes,No,Medium,Full,Primary,Middle,Private,3008,0
17,2.834590125,80.41316012,5.877972372,68.94932708,6.362054955,4,1,6.357214405,4,2,,M,Fair,Yes,No,No,Medium,Full,Secondary,High,Government,2640,0
17,2.459603656,93.29979872,3.722735814,81.62124022,2.699532614,6,0,7.852936275,0,0,,M,Poor,No,Yes,No,Medium,Full,Bachelor,Middle,Private,2118,0
18,2.680977989,95,5.962161611,50,1,5,2,5.990272139,0,0,,M,Good,No,No,Yes,Medium,Minimal,Bachelor,High,Private,1475,0
16,3.308804323,86.38625513,17.49382768,75,1.669132086,4,0,8.260113649,2,3,,M,Good,Yes,No,No,Low,Full,Bachelor,Middle,Private,4103,0
16,3.33964921,96.97046526,15.66034363,87.90298889,1.619841151,4,0,8.976613457,3,2,,F,Good,No,No,No,Medium,Full,Master,High,Private,2722,0
15,2.890060391,60,8.409421815,56.09001856,1,5,2,7.831135197,1,1,,M,Good,Yes,Yes,No,High,Full,Bachelor,Low,Private,1144,0
19,1.868849659,30,7.699455122,21.03261784,25,8,3,7.246570318,2,0,,F,Good,Yes,Yes,No,Medium,Limited,Primary,Middle,Unemployed,398,1
16,3.281447005,87.79203877,7.387871609,85.63649594,1,4,0,6.469827981,1,3,,F,Poor,Yes,No,No,High,Full,Bachelor,Middle,Self-employed,1692,0
17,3.960185416,80,17.74250402,79.30053372,0.953104542,3,1,9.021833353,1,1,,F,Fair,Yes,No,Yes,Medium,Full,Bachelor,Middle,Government,3599,0
16,3.4982658,97.08881152,21.61612171,75,4.089141106,1,0,8.771363684,4,3,,F,Good,No,No,No,High,Full,Bachelor,Low,Private,3584,0
16,3.012778863,87.98077062,9.927322303,90,2.983305392,5,2,6.963461007,2,0,,M,Good,Yes,No,No,High,Full,Secondary,Middle,Government,2255,0
16,3.122095689,83.55931161,12.28090703,82.56567186,9.282751873,5,1,6.376609281,2,2,,M,Fair,Yes,No,No,Medium,Full,Master,High,Private,1399,0
16,2.576310606,85.77228724,6.523846904,85.92856322,4.891126357,3,3,7.769007442,4,1,,F,Fair,Yes,No,No,Medium,Full,Master,Middle,Private,1814,0
17,1.812544813,30,1.688740955,42.79126387,15.73175363,8,4,6.247878748,0,0,,M,Fair,No,No,No,Low,Full,Secondary,Middle,Government,1097,1
15,3.289370654,95.27422942,13.39142319,81.67233505,8.033335328,4,0,9.051255496,6,1,,M,Fair,Yes,No,No,Low,Full,Master,Middle,Private,3270,0
17,2.747807788,60,8.117797399,60.21127822,4.166821947,6,1,8.7427896,3,1,,M,Good,Yes,No,No,Low,Full,Bachelor,Middle,Self-employed,1351,0
17,3.274268767,82.03165601,15.71134803,75,0.753358846,5,0,8.761151923,2,3,,M,Good,Yes,No,No,Low,Minimal,Primary,Middle,Self-employed,3065,0
18,1.620333291,30,3.565202705,35.1097366,12.06066483,6,4,5.321207377,1,0,,F,Fair,Yes,No,No,Low,Full,Secondary,Middle,Self-employed,980,1
16,1.879059413,45.13278304,4.551850595,20,5.58174295,4,2,4.824445913,1,0,,F,Good,Yes,No,No,Low,Full,Secondary,Low,Self-employed,284,1
17,2.665837357,60,9.828702237,87.66232402,7.705320089,8,3,7.634664151,0,3,,F,Fair,Yes,No,No,High,Full,Bachelor,High,Self-employed,1299,0
18,1.565405303,30,4.951191588,78.30857011,2.881510366,5,4,4.635261467,1,1,,F,Fair,Yes,Yes,No,Low,Full,Primary,Middle,Self-employed,899,1
16,3.368734583,80,16.12899022,80.44286068,2.544917584,2,0,8.974805781,5,3,,F,Good,Yes,No,No,Low,Full,Bachelor,Middle,Private,3238,0
17,3.082065174,80,15.49677976,75,2.514932425,3,1,8.458778602,4,5,,M,Good,Yes,Yes,No,High,Full,Master,High,Private,3812,0
16,3.649462462,80,16.98307893,78.6904494,0.5,6,0,9.68245005,3,2,,M,Good,Yes,No,No,High,Full,Bachelor,Middle,Unemployed,3784,0
16,2.548258988,38.19879213,7.014646036,20.05393587,3.083185853,3,3,4.830593587,0,1,,M,Fair,Yes,No,Yes,High,Minimal,Secondary,Low,Government,614,1
16,3.752513582,93.3471708,18.32135734,95.52541939,0.931074261,5,0,7.624390798,3,0,,M,Good,No,No,No,Medium,Full,Primary,Middle,Private,3067,0
17,2.557410502,90.50564531,4.508218809,72.45676157,15.47467675,7,0,7.075111769,4,5,,M,Fair,Yes,No,No,Low,Full,Bachelor,Low,Private,1733,0
17,3.123240403,79.10405679,7.257259302,50,6.168302889,2,1,8.280142249,2,0,,F,Good,Yes,No,No,Medium,Full,Bachelor,High,Government,2087,0
18,2.352547926,70.77160936,4.264785717,30.25299181,5.722764666,5,1,3.784643533,5,0,,M,Good,Yes,Yes,Yes,Medium,Limited,Primary,Low,Private,424,1
15,4.018195488,82.55528168,9.538104824,75,1.811494148,1,0,8.550703178,3,2,,M,Good,Yes,No,No,High,Full,Master,Low,Private,3709,0
16,2.703919855,70.29452227,8.262898343,70.91724287,9.102278681,4,1,7.987098745,2,0,,F,Good,Yes,No,No,High,Limited,Secondary,Middle,Private,1722,0
16,3.378285974,80,10.58522527,75,3.34792607,4,0,9.148777421,1,1,,M,Good,Yes,No,No,High,Limited,Bachelor,Middle,Government,4277,0
17,2.33660058,30,3.77813139,20,19.44953737,6,2,4.584293234,2,1,,F,Good,No,Yes,No,Low,Full,Bachelor,High,Government,840,1
18,2.707566796,39.27278108,5.242174498,20,25,4,4,5.997302244,0,0,,M,Good,No,No,No,Low,Full,Primary,Middle,Private,501,1
15,3.882447371,87.17720474,12.11373903,78.05643262,3.731674471,4,0,7.5123308,5,3,,M,Good,Yes,No,No,High,Full,Master,Middle,Government,3552,0
16,2.84977266,70.45527051,10.45284575,55.0924994,8.521976861,6,3,7.83123846,4,2,,F,Good,Yes,Yes,No,Medium,Full,Secondary,High,Self-employed,1698,0
16,2.77626101,30,2.7353152,59.70894568,2,3,5,6.00814989,0,0,,M,Poor,Yes,Yes,Yes,Low,Limited,Bachelor,High,Self-employed,550,1
16,1.65521365,38.37062337,4.488424453,22.27217956,2,8,4,6.018922846,1,0,,M,Good,Yes,No,Yes,Medium,Limited,Secondary,Low,Unemployed,558,1
16,3.198390628,87.43549142,22.5652247,76.20419893,1.889745848,3,0,7.352425647,2,1,,M,Poor,Yes,No,No,High,Full,Bachelor,Middle,Self-employed,3221,0
17,2.230740168,74.27027091,6.403518059,50,2.229765251,9,0,6.769797001,2,0,,M,Good,Yes,Yes,No,Medium,Full,Master,Middle,Private,2081,0
16,2.729836719,89.88134656,10.02135703,85.159136,15.84168485,5,0,7.753996341,2,1,,F,Fair,Yes,No,No,Medium,Full,Master,Middle,Government,2375,0
16,2.644591409,38.085195,7.216426427,80,25,4,1,5.98821183,3,0,,M,Good,Yes,No,No,Low,Full,Primary,Middle,Private,219,1
17,3.677213329,91.80506302,11.28134438,56.77474013,2.574543287,1,0,8.256752537,3,1,,F,Fair,No,No,No,Medium,Limited,Master,Low,Private,2466,0
16,3.401493872,80,12.03665921,75,0.61572461,3,0,7.629752028,2,2,,F,Good,Yes,No,No,Medium,Full,Bachelor,Middle,Unemployed,3401,0
18,2.572506381,78.73504818,9.834884091,63.15670814,1.396640998,6,1,5.922814492,1,2,,M,Good,No,No,No,High,Full,Bachelor,Low,Government,1139,0
20,2.20666721,30,8.398601857,20,13.33305699,5,3,5.246294441,0,0,,F,Good,No,No,No,Low,Minimal,Primary,High,Private,210,1
15,3.309405147,72.34372424,11.66771565,50,8.330530232,3,1,7.884117653,1,2,,F,Fair,Yes,No,No,Low,Full,Master,High,Private,2576,0
16,3.05191836,69.37522596,12.77735601,50,1,6,1,6.881809825,0,2,,M,Good,Yes,No,No,High,Full,Master,High,Unemployed,2084,0
17,2.712498301,64.66394624,13.14133001,56.41941916,1.85270691,4,0,6.932621401,4,0,,F,Fair,Yes,No,No,High,Full,Master,Low,Government,2098,0
17,1.989455264,30,6.330866933,29.93880214,13.87884261,2,3,6.483497156,0,0,,M,Good,No,No,No,Medium,Full,Secondary,Low,Private,551,1
15,3.031668032,80.99612404,10.32622443,76.97221871,5.096411418,4,3,7.110859007,1,1,,M,Fair,Yes,No,No,High,Full,Primary,Low,Private,1425,0
17,3.794840384,90.73663876,9.180616952,77.08701525,1.203146539,2,0,8.528718833,2,2,,M,Good,Yes,No,No,High,Full,Bachelor,High,Private,2790,0
16,3.645724877,80,13.66815578,78.48310685,0.63557148,3,0,8.478558714,3,1,,M,Good,Yes,No,No,High,Full,Bachelor,Low,Private,2898,0
17,2.141694378,68.90883396,2.514964913,33.5269795,14.31167574,8,2,2.664826393,0,0,,F,Good,Yes,No,No,Low,Minimal,Secondary,Middle,Self-employed,949,1
16,3.622239491,80.56325933,10.5156915,78.68771491,0.5,2,0,7.164092253,3,6,,F,Good,Yes,Yes,Yes,Medium,Full,Secondary,High,Self-employed,4300,0
16,2.654070402,79.9264716,5.139707604,71.48948386,5.460407871,1,1,8.028854787,3,0,,F,Good,Yes,No,No,High,Full,Master,Middle,Government,2533,0
17,2.506718929,50.1621258,6.785516791,49.11404812,2.696233794,3,0,4.265586433,0,0,,F,Poor,No,Yes,No,Medium,Limited,Secondary,Middle,Private,533,1
16,3.141374062,87.67200623,17.86999198,75,2.166111364,2,0,8.924219461,3,0,,M,Good,Yes,No,Yes,High,Minimal,Bachelor,High,Private,3949,0
15,3.658871815,89.44536283,11.07655163,75,2.837872071,1,1,8.875899739,7,5,,M,Good,No,No,No,High,Limited,Bachelor,Middle,Private,3136,0
16,3.652022938,86.61989349,16.05159008,75,4.175249442,3,1,8.497434582,4,3,,M,Good,Yes,No,Yes,Medium,Limited,Secondary,High,Self-employed,3138,0
16,3.115207018,75.04268865,8.267689358,50,10.38600643,5,0,7.986759448,3,2,,F,Good,Yes,Yes,No,High,Full,Bachelor,Middle,Government,1863,0
16,3.507476451,84.16750619,21.96903368,76.24349079,0.714048274,3,0,8.472579828,3,1,,F,Good,Yes,No,No,High,Full,Secondary,High,Private,2824,0
15,2.039873903,30,7.510865785,27.30071747,2,7,1,7.226206253,0,1,,M,Poor,No,No,Yes,Medium,Full,Primary,High,Government,640,1
16,3.781984943,80,18.4170692,80.21687369,7.777944511,2,0,8.812286675,4,2,,F,Good,Yes,No,No,Medium,Full,Bachelor,Low,Government,4353,0
15,3.569968952,80,10.50062126,96.61486206,8.607193396,4,0,8.562736533,1,2,,F,Poor,Yes,Yes,No,High,Full,Primary,Middle,Unemployed,3903,0
18,1.628706931,30,3.405758904,21.63117809,2,2,6,3.411033387,0,0,,M,Fair,Yes,No,Yes,High,Full,Bachelor,Low,Private,1,1
16,2.913791808,66.39189381,10.65098373,84.10701465,1.382855304,4,2,5.643825497,1,1,,M,Good,Yes,No,No,High,Full,Bachelor,High,Unemployed,2555,0
